id, retning, from address,from nr, from zip, from lon, from lat, to address,to nr, to zip, to lon, to lat, fejlkode, rutenavn, meter, sekunder, hastighed, sek ved std hastighed
32,hjem > arbejde,Kronprinsessegade,66,1306,55.687738883383,12.5852145506703,Sallingvej,11,2720,55.6940248140349,12.5091472508974,0,Nørrebrogade,5741,1517,13.623994726433752,1260
33,arbejde > hjem,Sallingvej,11,2720,55.6940248140349,12.5091472508974,Kronprinsessegade,66,1306,55.687738883383,12.5852145506703,0,Hillerødgade,5722,1514,13.605812417437253,1256
34,hjem > arbejde,Kronprinsessegade,66,1306,55.687738883383,12.5852145506703,Bispebjerg Bakke,21,2400,55.711816421815,12.541642859755,0,Sølvgade,4448,1178,13.59320882852292,976
35,arbejde > hjem,Bispebjerg Bakke,21,2400,55.711816421815,12.541642859755,Kronprinsessegade,66,1306,55.687738883383,12.5852145506703,0,Tagensvej,4419,1166,13.643567753001715,970
36,hjem > arbejde,Kronprinsessegade,66,1306,55.687738883383,12.5852145506703,Tuborgvej,164,2400,55.7216971828607,12.543236519761,0,Øster Allé,5424,1427,13.683531885073581,1190
37,arbejde > hjem,Tuborgvej,164,2400,55.7216971828607,12.543236519761,Kronprinsessegade,66,1306,55.687738883383,12.5852145506703,0,Emdrupvej,5395,1452,13.37603305785124,1184
38,hjem > arbejde,Kronprinsessegade,66,1306,55.687738883383,12.5852145506703,Amagerbrogade,41,2300,55.6642117330896,12.6009779991059,0,Kronprinsessegade,3131,833,13.531332533013206,687
39,arbejde > hjem,Amagerbrogade,41,2300,55.6642117330896,12.6009779991059,Kronprinsessegade,66,1306,55.687738883383,12.5852145506703,0,Amagerbrogade,3131,832,13.547596153846154,687
40,hjem > arbejde,Kronprinsessegade,66,1306,55.687738883383,12.5852145506703,Øresundsvej,49,2300,55.6605292842964,12.6134727292807,0,Kronprinsessegade,4216,1119,13.563538873994638,925
41,arbejde > hjem,Øresundsvej,49,2300,55.6605292842964,12.6134727292807,Kronprinsessegade,66,1306,55.687738883383,12.5852145506703,0,Amagerbrogade,4213,1113,13.626954177897575,924
